"","names","overall"
"1","tot.space",183.708150814138
"2","OverallQual",175.586847740815
"4","built.period",29.510843260687
"7","LotArea",23.9727561496068
"5","remod.period",21.6332609828586
"8","OverallCond",16.211469041037
"11","GarageCars",14.2951663656412
"3","KitchenQual",13.8345829410101
"9","CentralAir.Y",11.779306911766
"16","BsmtFinType1",8.92138320661249
"13","LotFrontage",8.82315408456828
"29","GarageQual",7.25772451921196
"12","GarageYrBlt",6.94020737385904
"6","Fireplaces",5.48182781558074
"26","BsmtExposure",5.07553251612702
"19","OpenPorchSF",4.94996737768308
"35","SaleCondition.Normal",4.59033202729992
"44","MoSold",4.5783276331868
"18","HeatingQC",4.49087189693547
"20","MSZoning.RL",4.40519558119041
"47","EnclosedPorch",3.85753639945637
"27","WoodDeckSF",3.78600629327619
"14","MasVnrArea",3.73980946728138
"34","Neighborhood.IDOTRR",3.6481975160622
"51","ExterCond",3.19628607743185
"28","Neighborhood.Crawfor",2.65833799493354
"21","MSZoning.RM",2.40304907579369
"24","BsmtFullBath",2.31535255834846
"39","ScreenPorch",2.12315414484866
"17","TotRmsAbvGrd",2.0359913685783
"22","GarageType.Attchd",1.89192386772225
"31","GarageType.Detchd",1.81359443639514
"37","SaleType.New",1.66599434013673
"48","BsmtCond",1.63947399162306
"10","FullBath",1.50784868859921
"33","LotShape.Reg",1.48513072273921
"57","Functional.Typ",1.3114247089984
"32","BedroomAbvGr",1.30765378862234
"52","Exterior1st.BrkFace",1.28880969195022
"65","Condition1.Norm",1.18440662043843
"36","Neighborhood.OldTown",1.02219866621234
"43","LotConfig.Inside",0.991885468504443
"41","Fence.None",0.930637082257207
"42","KitchenAbvGr",0.911773893345245
"54","RoofStyle.Gable",0.893224865821265
"55","Neighborhood.BrkSide",0.7886556217936
"58","SaleType.WD",0.670360916385682
"53","PavedDrive.Y",0.662766908662839
"64","LotConfig.CulDSac",0.644277191913966
"59","SaleCondition.Partial",0.625295519411462
"49","Foundation.CBlock",0.590488778011584
"62","Exterior1st.MetalSd",0.51364734842079
"56","Exterior1st.Wd.Sdng",0.486161930197099
"30","MSSubClass.30",0.45126346835893
"63","Electrical.SBrkr",0.439166646134307
"61","MSSubClass.50",0.378528018181439
"15","MSSubClass.60",0.360965872101404
"23","HalfBath",0.233499159232832
"68","Neighborhood.StoneBr",0.199312531276236
"60","Neighborhood.NAmes",0.180962353253792
"38","Exterior1st.VinylSd",0.179801013835828
"66","MSSubClass.160",0.172324646848503
"25","Foundation.PConc",0.151113079621373
"40","SaleCondition.Family",0.0850944301194824
"67","Neighborhood.MeadowV",0.0542568421828334
"46","Neighborhood.NridgHt",0.0378936698671498
"45","MasVnrType.None",0.0307478296963157
"50","GarageType.None",0
