"","names","overall"
"114","CentralAir.Y",0.0761960642692584
"130","Functional.Sev",0.0710610385696828
"72","OverallQual",0.0694316299214949
"164","SaleType.New",0.0643649463681753
"41","Neighborhood.Crawfor",0.0598554299677651
"44","Neighborhood.IDOTRR",0.0549636186736543
"12","MSSubClass.160",0.0489227407285493
"45","Neighborhood.MeadowV",0.0466853755567046
"50","Neighborhood.NridgHt",0.0380682770623196
"140","GarageCars",0.0378321342436743
"18","MSZoning.RM",0.0333240908451133
"124","KitchenQual",0.0323816912024895
"118","BsmtFullBath",0.0306586311162404
"85","Exterior1st.BrkFace",0.0280466509198706
"126","Functional.Maj2",0.0269159655491906
"73","OverallCond",0.0266919055852205
"131","Functional.Typ",0.0246884128125965
"52","Neighborhood.OldTown",0.023767323155669
"21","Street.Pave",0.0228999525172573
"84","Exterior1st.BrkComm",0.0228639754982936
"132","Fireplaces",0.0227724550177187
"30","LotConfig.CulDSac",0.0216768372490382
"61","Condition1.Norm",0.0190617785367216
"17","MSZoning.RL",0.0146604819813931
"1","MSSubClass.30",0.0140878573163986
"170","SaleCondition.Normal",0.0133472184250155
"106","BsmtExposure",0.0120352149178034
"113","HeatingQC",0.0116580155287732
"97","MasVnrType.Stone",0.0115109930572746
"133","GarageType.Attchd",0.0106498490313845
"55","Neighborhood.Somerst",0.0103035546594505
"141","GarageQual",0.00991304718356693
"107","BsmtFinType1",0.00943035211167343
"101","Foundation.PConc",0.00860837770479654
"123","KitchenAbvGr",0.00795039927140961
"26","LotShape.Reg",0.00407942815307084
"143","PavedDrive.Y",0.00162172813339248
"173","built.period",0.00143976964780417
"174","remod.period",0.000781418423750912
"19","LotFrontage",0.000154038067037042
"148","ScreenPorch",0.000104707451816742
"172","tot.space",0.0000570234787151829
"56","Neighborhood.StoneBr",0.0000310017942247333
"144","WoodDeckSF",0.0000301075800971884
"145","OpenPorchSF",0.0000208748202221064
"98","MasVnrArea",0.00000566004047622607
"20","LotArea",0.00000146852505402546
"2","MSSubClass.40",0
"3","MSSubClass.45",0
"4","MSSubClass.50",0
"5","MSSubClass.60",0
"6","MSSubClass.70",0
"7","MSSubClass.75",0
"8","MSSubClass.80",0
"9","MSSubClass.85",0
"10","MSSubClass.90",0
"11","MSSubClass.120",0
"13","MSSubClass.180",0
"14","MSSubClass.190",0
"15","MSZoning.FV",0
"16","MSZoning.RH",0
"22","Alley.Pave",0
"23","Alley.None",0
"24","LotShape.IR2",0
"25","LotShape.IR3",0
"27","LandContour.HLS",0
"28","LandContour.Low",0
"29","LandContour.Lvl",0
"31","LotConfig.FR2",0
"32","LotConfig.FR3",0
"33","LotConfig.Inside",0
"34","LandSlope.Mod",0
"35","LandSlope.Sev",0
"36","Neighborhood.Blueste",0
"37","Neighborhood.BrDale",0
"38","Neighborhood.BrkSide",0
"39","Neighborhood.ClearCr",0
"40","Neighborhood.CollgCr",0
"42","Neighborhood.Edwards",0
"43","Neighborhood.Gilbert",0
"46","Neighborhood.Mitchel",0
"47","Neighborhood.NAmes",0
"48","Neighborhood.NoRidge",0
"49","Neighborhood.NPkVill",0
"51","Neighborhood.NWAmes",0
"53","Neighborhood.Sawyer",0
"54","Neighborhood.SawyerW",0
"57","Neighborhood.SWISU",0
"58","Neighborhood.Timber",0
"59","Neighborhood.Veenker",0
"60","Condition1.Feedr",0
"62","Condition1.PosA",0
"63","Condition1.PosN",0
"64","Condition1.RRAe",0
"65","Condition1.RRAn",0
"66","Condition1.RRNe",0
"67","Condition1.RRNn",0
"68","Condition2.Feedr",0
"69","Condition2.Norm",0
"70","Condition2.PosA",0
"71","Condition2.PosN",0
"74","RoofStyle.Gable",0
"75","RoofStyle.Gambrel",0
"76","RoofStyle.Hip",0
"77","RoofStyle.Mansard",0
"78","RoofStyle.Shed",0
"79","RoofMatl.CompShg",0
"80","RoofMatl.Tar.Grv",0
"81","RoofMatl.WdShake",0
"82","RoofMatl.WdShngl",0
"83","Exterior1st.AsphShn",0
"86","Exterior1st.CBlock",0
"87","Exterior1st.CemntBd",0
"88","Exterior1st.HdBoard",0
"89","Exterior1st.MetalSd",0
"90","Exterior1st.Plywood",0
"91","Exterior1st.Stucco",0
"92","Exterior1st.VinylSd",0
"93","Exterior1st.Wd.Sdng",0
"94","Exterior1st.WdShing",0
"95","MasVnrType.BrkFace",0
"96","MasVnrType.None",0
"99","ExterCond",0
"100","Foundation.CBlock",0
"102","Foundation.Slab",0
"103","Foundation.Stone",0
"104","Foundation.Wood",0
"105","BsmtCond",0
"108","BsmtFinType2",0
"109","Heating.GasA",0
"110","Heating.GasW",0
"111","Heating.Grav",0
"112","Heating.Wall",0
"115","Electrical.FuseF",0
"116","Electrical.FuseP",0
"117","Electrical.SBrkr",0
"119","BsmtHalfBath",0
"120","FullBath",0
"121","HalfBath",0
"122","BedroomAbvGr",0
"125","TotRmsAbvGrd",0
"127","Functional.Min1",0
"128","Functional.Min2",0
"129","Functional.Mod",0
"134","GarageType.Basment",0
"135","GarageType.BuiltIn",0
"136","GarageType.CarPort",0
"137","GarageType.Detchd",0
"138","GarageType.None",0
