"","names","overall"
"172","tot.space",66.416100896045
"72","OverallQual",35.5159031378846
"173","built.period",12.5876020399138
"124","KitchenQual",10.8361529773261
"140","GarageCars",7.1722232292772
"120","FullBath",5.73454384301615
"174","remod.period",5.23004875608247
"20","LotArea",4.59043941252359
"139","GarageYrBlt",4.33374687276888
"114","CentralAir.Y",3.15398962723667
"132","Fireplaces",2.91670570592588
"19","LotFrontage",2.39806598286366
"73","OverallCond",2.21628417082161
"125","TotRmsAbvGrd",2.08418591845609
"145","OpenPorchSF",1.49075829851531
"107","BsmtFinType1",1.35020314960705
"98","MasVnrArea",1.3063422531695
"101","Foundation.PConc",1.22213095899758
"158","MoSold",0.914132894279129
"122","BedroomAbvGr",0.807489044467463
"113","HeatingQC",0.730942774181849
"144","WoodDeckSF",0.723319118577625
"141","GarageQual",0.692504464562472
"106","BsmtExposure",0.668757190757001
"17","MSZoning.RL",0.634062004342169
"18","MSZoning.RM",0.609634048545945
"1","MSSubClass.30",0.563610766457709
"133","GarageType.Attchd",0.521646064517133
"118","BsmtFullBath",0.475872278583782
"5","MSSubClass.60",0.426138793250243
"99","ExterCond",0.42116051106963
"121","HalfBath",0.403687611784868
"137","GarageType.Detchd",0.395663447860869
"41","Neighborhood.Crawfor",0.357229218333083
"26","LotShape.Reg",0.354290463200073
"146","EnclosedPorch",0.352319017195628
"123","KitchenAbvGr",0.340957796438475
"170","SaleCondition.Normal",0.320497044777806
"44","Neighborhood.IDOTRR",0.291943090270659
"138","GarageType.None",0.270546916905898
"169","SaleCondition.Family",0.251708584319819
"52","Neighborhood.OldTown",0.248823507234104
"105","BsmtCond",0.213351146672871
"150","Fence.GdWo",0.213155734394267
"92","Exterior1st.VinylSd",0.201289406734983
"76","RoofStyle.Hip",0.195383412846448
"74","RoofStyle.Gable",0.189471158320931
"148","ScreenPorch",0.185967067862772
"85","Exterior1st.BrkFace",0.181167672838043
"153","Fence.None",0.177613093052429
"108","BsmtFinType2",0.177559061353128
"143","PavedDrive.Y",0.175280346495943
"129","Functional.Mod",0.159503959089842
"84","Exterior1st.BrkComm",0.155856692227921
"34","LandSlope.Mod",0.150441044632325
"29","LandContour.Lvl",0.150108698286103
"100","Foundation.CBlock",0.142546800543982
"131","Functional.Typ",0.136992289673633
"33","LotConfig.Inside",0.131537586056888
"23","Alley.None",0.130618394439474
"166","SaleType.WD",0.129273360836332
"93","Exterior1st.Wd.Sdng",0.12750241876836
"117","Electrical.SBrkr",0.125165241025942
"4","MSSubClass.50",0.117391437087337
"42","Neighborhood.Edwards",0.11718744664046
"22","Alley.Pave",0.10913705261708
"61","Condition1.Norm",0.108834755545919
"10","MSSubClass.90",0.107596574479276
"96","MasVnrType.None",0.104668561373992
"47","Neighborhood.NAmes",0.102215104042801
"6","MSSubClass.70",0.0970259546163193
"95","MasVnrType.BrkFace",0.0951365332805849
"119","BsmtHalfBath",0.0943547771201193
"48","Neighborhood.NoRidge",0.0942482193027015
"75","RoofStyle.Gambrel",0.0938400913146156
"50","Neighborhood.NridgHt",0.0904145047840563
"55","Neighborhood.Somerst",0.0886025837510895
"30","LotConfig.CulDSac",0.0823443701431374
"87","Exterior1st.CemntBd",0.0802236809888916
"89","Exterior1st.MetalSd",0.0792559685896699
"151","Fence.MnPrv",0.0792419634278087
"88","Exterior1st.HdBoard",0.075014849279385
"40","Neighborhood.CollgCr",0.0743587988622001
"45","Neighborhood.MeadowV",0.0742856139207261
"90","Exterior1st.Plywood",0.0696422683022709
"27","LandContour.HLS",0.0695226950841423
"53","Neighborhood.Sawyer",0.0651821067649976
"157","MiscVal",0.0635943065585314
"111","Heating.Grav",0.0632968373845151
