"","names","overall"
"1","tot.space",49.1675008429453
"2","OverallQual",43.1042744592767
"4","built.period",15.2906865915789
"3","KitchenQual",14.5853142295358
"11","GarageCars",10.7162064780336
"10","FullBath",6.57844416029478
"7","LotArea",6.20146732067586
"5","remod.period",5.84106431730918
"12","GarageYrBlt",5.78958153480766
"13","LotFrontage",4.19208159476995
"6","Fireplaces",3.80747698533184
"9","CentralAir.Y",3.75881047289302
"8","OverallCond",3.06186079706371
"17","TotRmsAbvGrd",2.82723258778058
"16","BsmtFinType1",2.4147558212349
"14","MasVnrArea",2.00595502442996
"19","OpenPorchSF",1.96662434701139
"22","GarageType.Attchd",1.49739908618487
"25","Foundation.PConc",1.10133484585719
"20","MSZoning.RL",1.04092725490514
"21","MSZoning.RM",0.988704919246127
"24","BsmtFullBath",0.987210183115009
"18","HeatingQC",0.946310866365216
"23","HalfBath",0.593077221571878
"15","MSSubClass.60",0.286026260226027
