"","Feature","Weight"
"1","RoofStyle.Shed",-0.666795
"2","Functional.Sev",-0.479293
"3","RoofStyle.Gambrel",-0.432597
"4","RoofMatl.Tar.Grv",-0.417288
"5","RoofStyle.Gable",-0.417088
"6","RoofStyle.Hip",-0.401395
"7","MSZoning.FV",0.396093
"8","RoofStyle.Mansard",-0.390973
"9","MSZoning.RL",0.370599
"10","MSZoning.RM",0.3512
"11","MSZoning.RH",0.338918
"12","Exterior1st.BrkComm",-0.255038
"13","Condition2.PosN",-0.228511
"14","LandSlope.Sev",-0.227673
"15","Functional.Maj2",-0.210416
"16","MSSubClass.160",-0.207326
"17","MSSubClass.180",-0.188445
"18","Heating.Grav",-0.174207
"19","Neighborhood.MeadowV",-0.173453
"20","Neighborhood.OldTown",-0.157545
"21","RoofMatl.WdShake",-0.15556
"22","Neighborhood.IDOTRR",-0.148849
"23","Foundation.Wood",-0.136436
"24","MiscFeature.Othr",-0.129328
"25","SaleType.ConLw",-0.12819
"26","Neighborhood.Mitchel",-0.124963
"27","SaleType.ConLD",0.123878
"28","Functional.Mod",-0.121726
"29","Neighborhood.Edwards",-0.120106
"30","Neighborhood.NWAmes",-0.119892
"31","Condition2.PosA",0.118525
"32","Exterior1st.BrkFace",0.114158
"33","Foundation.Stone",0.109648
"34","Condition2.Norm",-0.102988
"35","Neighborhood.NAmes",-0.0984842
"36","LotConfig.FR3",-0.093199
"37","Neighborhood.SWISU",-0.0922958
"38","CentralAir.Y",0.0922189
"39","Neighborhood.Sawyer",-0.0914429
"40","MSSubClass.120",-0.0906333
"41","Neighborhood.Gilbert",-0.0893373
"42","Neighborhood.ClearCr",-0.0854735
"43","SaleType.New",0.0854166
"44","Condition1.RRNn",0.0853653
"45","Neighborhood.CollgCr",-0.0849911
"46","RoofMatl.CompShg",-0.084157
"47","MiscFeature.None",-0.0840179
"48","SaleCondition.AdjLand",0.0826001
"49","Neighborhood.SawyerW",-0.0769414
"50","Condition1.PosA",0.0754284
"51","Condition1.PosN",0.0753741
"52","Exterior1st.CemntBd",0.0731486
"53","Condition1.RRNe",0.0724569
"54","Heating.Wall",0.072125
"55","Condition1.Norm",0.0716705
"56","MiscFeature.Shed",-0.0688054
"57","Street.Pave",-0.0685197
"58","Alley.None",-0.0658111
"59","Neighborhood.StoneBr",0.0644666
